Cleaned institution name,Institution ID,Homepage,Country (ISO2),Head institution
Khalifa University,965,https://www.ku.ac.ae/,AE,Khalifa University
University of Vlora “Ismail Qemali” (UVL),47,https://univlora.edu.al/,AL,University of Vlora “Ismail Qemali” (UVL)
Albanian Geological Survey (GSA),513,http://www.gsa.gov.al/,AL,Albanian Geological Survey (GSA)
University of Buenos Aires (CIMA),218,https://www.cima.fcen.uba.ar/,AR,University of Buenos Aires (CIMA)
Alchemia Nova,12,https://alchemia-nova.eu/,AT,Alchemia Nova
CIRCE Biotechnologie,16,https://circe.at/,AT,CIRCE Biotechnologie
University of Natural Resources and Life Sciences (BOKU),73,https://boku.ac.at/en/,AT,University of Natural Resources and Life Sciences (BOKU)
Environmental Earth Observation Information Technology (ENVEO),391,https://www.enveo.at/,AT,Environmental Earth Observation Information Technology (ENVEO)
SPOTTERON,489,https://www.spotteron.net/,AT,SPOTTERON
International Institute for Applied Systems Analysis (IIASA),725,https://iiasa.ac.at/,AT,International Institute for Applied Systems Analysis (IIASA)
Paris London University of Salzburg (PLUS),924,https://www.plus.ac.at/,AT,Paris London University of Salzburg (PLUS)
Deakin University,85,https://www.deakin.edu.au/,AU,Deakin University
Royal Melbourne Institute of Technology (RMIT),86,https://www.rmit.edu.au/,AU,Royal Melbourne Institute of Technology (RMIT)
Government of Australia,167,https://www.dfat.gov.au,AU,Government of Australia
Austrialian Climate Service,168,https://www.acs.gov.au/,AU,Austrialian Climate Service
Commonwealth Scientific and Industrial Research Organisation (CSIRO),169,https://www.csiro.au/en/,AU,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
Bureau of Metereology of Australia,170,https://www.bom.gov.au/,AU,Bureau of Metereology of Australia
"Australian Government Department of Climate Change, Energy, the Environment and Water",171,https://www.dcceew.gov.au/,AU,Government of Australia
University of Tasmania,188,https://www.utas.edu.au/imas,AU,University of Tasmania
Commonwealth Scientific and Industrial Research Organisation (CSIRO),195,https://www.csiro.au/en/,AU,Commonwealth Scientific and Industrial Research Organisation (CSIRO)
University of Melbourne,276,https://www.unimelb.edu.au/,AU,University of Melbourne
Global Coral Reef Monitoring Network (GCRMN),339,https://gcrmn.net/,AU,International Coral Reef Initiative (ICRI)
Institute for Marine & Antarctic Studies (IMAS),588,https://www.utas.edu.au/imas,AU,University of Tasmania
Pickoun,589,https://www.pickoun.com/,AU,Pickoun
State of Queensland,698,https://www.qld.gov.au/,AU,Government of Australia
Science and Conservation of Fish Aggregations (SCRFA),700,https://www.scrfa.org/,AU,Science and Conservation of Fish Aggregations (SCRFA)
University of Queensland,701,https://www.uq.edu.au/,AU,University of Queensland
River Cleanup,29,https://www.river-cleanup.org/,BE,River Cleanup
Flemish Institute for Technological Research (VITO),32,https://vito.be/,BE,Flemish Institute for Technological Research (VITO)
