Project name,Institutions_clean,institution_ids,Head_institutions,Countries_ISO2,Public value framing,Public values (labels),Technical objectives,Public/private,Funding sources,Operational status,Open access,Scope,Geographic coverage,Data types,Data collection methods,TK from IPLCs,User interface,Real-time data,What-if modelling,Decision-support function,Homepages,Other relevant sources,Notes
CEMBS-PolSea (hydrodynamic model of the southern Baltic),Institute of Oceanology Polish Academy of Sciences; Satellite Environment Control of Baltic Sea (SatBałtyk); Academic Computer Center of Gdańsk (TASK),1;2;3,Gdańsk University of Technology; Polish Academy of Sciences; Satellite Environment Control of Baltic Sea (SatBałtyk),PL,"The numerical ecosystem model of the Baltic Sea 3D CEMBS allows tracking time and space changes of physical and biogeochemical parameters of the marine environment. An essential element of this project is to develop numerical methods for predicting the emergence of threats to our coastal area (for example, blooms of algae, sea surface height changes, ice cover reach, and others), which will become a modern tool that can help in managing the environment. The diagnosis of the processes in this project is not only important from the scientific point of view but also allows a deeper understanding of the Baltic ecosystem functioning.

It is also of a great importance for this group of people, which plans to spend free time near our coast. Operational model allows the information flow about the state of the marine environment in real-time, and 60 hours in advance. The effects of the proposed project can become a potent tool for policymakers and local authorities, especially in emergency situations.",better ocean systems data,"The 3D CEMBS-PolSea hydrodynamic model of the southern Baltic was developed and tested as part of the CSI-POM project. This model determines the spatiotemporal distributions of parameters such as temperature, salinity, currents and sea level. It will allow to investigate the structure, dynamics and variability of physical processes in the marine environment of the studied area.",public,Ministry of Science and Higher Education (Poland) (support of grant No NN305 111636),operational,fully,regional, Baltic Sea,oceanographic,remote sensing; in-situ,no,yes,yes,no,no,http://www.cembs.pl/,,
"""Dolphin 1"" Digital Twin Intelligent Research Vessel",Harbin Engineering University,4,Harbin Engineering University,CN,"Operators can control the vessel remotely from thousands of miles away, enabling them to “steer from shore while the ship sails at sea,” and can conduct real-time, precise health checks and diagnostics on the vessel’s engines, propulsion systems, navigation systems, and other critical components.",sustainable shipping,"A digital twin technology framework for ships has been established, encompassing digital modeling, iterative model evolution, real-time virtual-physical interaction, online-offline synergy, and ship-shore mirroring.",public,China,operational,no,national,,oceanographic,remote sensing; in-situ,no,yes,yes,yes,human,https://www.ncsti.gov.cn/kjdt/ztbd/ztbddgkj/dgkjkchjxsh/202307/t20230704_126334.html,,
"""Grey Heron"" AI Squid Fishing Forecast System",Shanghai Ocean University (SOU); Cnfc Overseas Fisheries Co.,5;6,Shanghai Ocean University (SOU); Cnfc Overseas Fisheries Co.,CN,"By accurately forecasting squid fishing grounds and providing medium- to long-term stock assessments, the system eliminates the reliance on ""rule-of-thumb"" methods and the haphazard nature of fishing ground relocation in squid jigging operations. Additionally, the system features built-in vessel tracking and boundary violation alerts, helping to prevent maritime disputes and improve management efficiency. It also automatically generates and publishes daily ""one-map"" reports detailing the operational sea area environment, vessel locations, and fishing forecasts, thereby leveraging technology to empower a green and low-carbon fishing industry.",blue economy; climate change mitigation,"By integrating technologies such as marine remote sensing, geographic information systems, artificial intelligence, and big data, we can provide accurate five-day forecasts of fishing grounds in global pelagic squid fishing areas.",public,China,operational,no,global,global,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://hyxy.shou.edu.cn/_t623/2025/1105/c7379a347905/page.htm,,
"""Minh River Estuary"" S-100 Digital Twin Integrated Land-Sea 3D Model",Fuzhou Data Administration; Donghai Navigation Safety Administration,7;8,Fuzhou Municipality ; Government of China,CN,"With the development of Fujian’s marine economic belt and the transition to a digital government as its core objectives, this model provides precise support for marine industry planning and smart port construction through the creation of standardized 3D models.",sustainable shipping,"Standardization and integration of multi-source data, 3D dynamic simulation, and establishment of a real-time update mechanism",public,China,operational,no,local,local,oceanographic; spatial,remote sensing; in-situ,no,,yes,,human,http://fj.people.com.cn/n2/2025/0430/c181466-41215435.html,,
"""Ship Intelligence Cloud""",China State Shipbuilding Corporation Limited (CSSC),9,China State Shipbuilding Corporation Limited (CSSC),CN,"Enable comprehensive, intelligent management of ship propulsion systems throughout their entire lifecycle. Provide ships with precise energy efficiency optimization strategies to help reduce carbon emissions and lower maintenance costs, while offering solutions to the industry’s challenges in energy conservation, carbon reduction, and digital transformation.",sustainable shipping; climate change mitigation,"Using comprehensive sensing technology, a network of smart sensors has been deployed to cover critical power equipment such as main engines, auxiliary engines, boilers, generator sets, and propulsion systems, collecting more than 50 parameters including temperature, pressure, rotational speed, vibration, torque, fuel consumption, and emissions.",public,China,operational,no,national,,oceanographic,in-situ,no,yes,yes,yes,human,https://mp.weixin.qq.com/s?__biz=MzA4Nzg3NTYyMQ==&mid=2247670392&idx=5&sn=0a11e3fb5d9cb2b5271ffc6f3edd19e4&chksm=913609d011f75e83687a6778ee182a7fb75452b85c136535c99c9abf36ac5d1ce623f8e30ef8&scene=27,,
Innovative Solutions for Plastic Free European Rivers (INSPIRE),"FishFlow Innovations; University of Cádiz (UCA); ARCHA; National Research Council of Italy (CNR); Bio-Mi; Asian Institute Of Technology (AIT); Alchemia Nova; EXIT Foundation; Infordata; Noria; University of Maribor; Flanders Marine Institute (VLIZ); Rumanian Water Association (ARA); Interdisciplinar Center of Marine and Environmental Research (CLIMAR); Waste & Water; Fresenius University of Applied Sciences; 123 Zero; MOLD; KTH Royal Institute of Technology; CIRCE Biotechnologie; Clera.One; Marine Innovation, Depollution & Services; Grein SpA; Vlaamse Instelling voor Technologisch Onderzoek (VITO); River Cleanup; Wageningen University & Research",10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35,Carl Remigius Fresenius Education; FishFlow Innovations; University of Cádiz (UCA); ARCHA; National Research Council of Italy (CNR); Bio-Mi; Asian Institute Of Technology (AIT); Alchemia Nova; EXIT Foundation; Infordata; Noria; University of Maribor; Flanders Marine Institute (VLIZ); Rumanian Water Association (ARA); Waste & Water; Hellenic Centre for Marine Research; 123 Zero; CLIMAR ; Vlaamse Instelling voor Technologisch Onderzoek; MOLD; KTH Royal Institute of Technology; CIRCE Biotechnologie; Clera.One; Wageningen University; Grein SpA; River Cleanup,IT; RS; NL; PT; DE; RO; GR; BE; HR; SI; AT; SE; ES; TH; FR,"INSPIRE brings different technlogies and solutions together focusing on the detection, collection and prevention of litter, plastics and macroplastics in rivers and on riverbanks; Detection of the pollution characteristics, such as type and level of pollution present in terms of litter, macro-, meso- and microplastics, floating, in the water column and at the riverbanks; Collection of litter, macro and microplastics and macroplastics at the riverbank and in the river. The lifetime of litter present in the river is minimized, reducing the risk of further breakdown of items into fragments and further into microlitter and prevent them from being finally discharged to the seas and ocean; Prevention of litter, macro and microplastics to enter the river by collecting it from its waste stream before it can enter the river and by developing biodegradable alternatives for currently non-degradable polluting products, to avoid they will further be used and arrive in the river as litter.",combat pollution,"Defining a set of solutions, Each solution is composed of a multitude of the applied 20 technologies; Developing guidelines for scaling up the solutions. The possible solution packages will be extended with plug-in options to add additional technologies and actions, different from the 20 implemented in INSPIRE and offer a ‘fit-for-all’ solutions applicable and replicable in all rivers in Europe.",public,European Union,development,no,regional,All rivers in Europe,oceanographic; social; spatial,in-situ; citizen science; desk research; remote sensing,no,no,yes,yes,human,https://inspire-europe.org/,,
“HI-ENERGY” AI Model,China National Offshore Oil Corporation,36,China National Offshore Oil Corporation,CN,"This model provides digital and intelligent support for achieving optimal resource allocation, improving operational efficiency, implementing lean on-site management, optimizing business models, and fostering innovation in the offshore oil and gas industry, thereby empowering the sector to accelerate the cultivation of new productive forces and achieve high-quality development.",,"Focusing on more than 100 business scenario models across eight major categories—including smart oil and gas fields, smart engineering, smart factories, smart sales and marketing, smart QHSE, smart supply chains, smart management, and smart offices—we are committed to achieving a balance between small and large models, compatibility between specialized and general-purpose scenarios, and comprehensive coverage of both production and operational management.",public,China,operational,no,national,national,oceanographic,remote sensing; in-situ,no,yes,yes,yes,human,https://mp.weixin.qq.com/s?__biz=MzI2OTk3Nzg5NA==&mid=2247551528&idx=1&sn=c364a6c49be5fdb5a7b377df580de4c9&chksm=eb62cffe4ff09184588f711a71efa134c3364233ad5f1d5b2c0745cbadcc4216330c4ca79e10&scene=27,,
“Jiageng” Digital Twin Project,Xiameng University,37,Xiameng University ,CN,"Leveraging this model, the Ship Management Center’s existing technical framework for ship information systems has not only been further refined but also enables three-dimensional visualization and VR display capabilities for vessels, including real-time interaction between virtual and physical environments, online-offline integration, and ship-shore mirroring. Furthermore, utilizing the fully digital model of the ""Jiageng,"" it is possible to fully simulate maritime operational scenarios and provide a platform for safety training and simulation exercises, thereby further advancing the vessel’s operational management toward digital intelligence and greater efficiency.",sustainable shipping,"The fully digital model of the ""Jiageng"" utilizes cutting-edge 3D reverse engineering technology to digitally map the entire ship's interior, creating a high-precision virtual environment with realistic textures. This enables real-time synchronization and interaction between the virtual model and the physical vessel in terms of both static and dynamic properties.",public,China,operational,no,local,local,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://ships.xmu.edu.cn/info/1052/3177.htm,,
“Kanhai” AI Ocean Large Model,National Satellite Ocean Application Center,38,Government of China,CN,Significantly improves the accuracy of marine disaster warnings and offers unique value in marine environmental monitoring,disaster prevention,"Based on data from autonomous ocean satellites, this model integrates both spatial and temporal dimensions—from the ocean surface to the seabed and from current conditions to future scenarios—enabling in-depth analysis and forward-looking predictions of the marine environment.",public,China,operational,no,global,global,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://www.ncsti.gov.cn/kjdt/kjrd/202511/t20251126_230096.html,,
 Algal Forest Restoration in Mediterranean Sea (AFRIMED),University Chouaib Doukkali (UCD); UN Environment World Conservation Monitoring Centre (WCMC); University of Vlora “Ismail Qemali” (UVL); Polytechnic University of Marche (UNIVPM); Zoologic Station Anton Dohrn (SZN); Faculty of Sciences of Bizerte (FSB); Hellenic Agricultural Organization-Demeter (HAO-DEMETER); EcoReach; University of Girona (UdG); Hellenic Centre for Marine Research (HCMR); University of Nice Sophia Antipolis (UNS),39;40;41;42;43;44;45;46;47;48;49,University Chouaib Doukkali (UCD); UN Environment World Conservation Monitoring Centre (WCMC); University of Vlora “Ismail Qemali” (UVL); Polytechnic University of Marche (UNIVPM); Zoologic Station Anton Dohrn (SZN); University of Carthage; EcoReach; University of Girona (UdG); Government of Greece; University of Nice Sophia Antipolis (UNS),IT; MA; GR; TN; GB; ES; FR; AL,"As the deployment of blue economy sectors across Europe accelerates, it is vital that the resilience of marine and coastal ecosystems is maintained and restored in order to allow economic growth to be achieved in a sustainable manner. However, despite best efforts to conserve and sustainably manage marine ecosystems, attempts to mitigate human threats are generally proving inadequate to halt biodiversity loss and habitat degradation. Consequently, there is a need for the European Union to turn policy objectives relating to secure, safe, clean and sustainably managed oceans into actions and impacts. This is particularly true in coastal habitats, where the effects of multiple stressors are causing widespread loss of critical coastal habitats, a pattern which is projected to increase with climatic change. Macroalgal forest ecosystems play a key role in enhancing coastal primary productivity, supporting complex food webs and are integral to the delivery of a multitude of goods and services. However, the massive losses of macroalgal forests that are occurring all over the Mediterranean basin are going largely unnoticed and we do not have the tools or knowledge required to bring about change. AFRIMED seeks to bring about a step-change in this situation, by developing, implementing and promoting a protocol to effectively restore macroalgal forests (Cystoseira spp.) in the Mediterranean Sea in order to maximise the delivery of conservation, societal and economic benefits",mitigate biodiversity loss; climate change adaptation; blue economy,"AFRIMED aims we seek to improve existing and develop new innovative restoration actions in order to restore damaged or degraded macroalgal forests (Cystoseira) to the benefit the people and industries that utilise them and provide a framework from which to up-scale the approach; Specifically, the project will: - Identifying optimal locations to undertake restorative action, now and into the future, by bringing together existing knowledge of the status and distribution of macroalgal forests and the environmental and anthropogenic context of the regions in which they are found (WP1); - undertaking novel laboratory experiments in order to optimise restoration techniques in a range of environmental and anthropogenic contexts commonly found in the region (WP2); - exploring the response of Cystoseira species to future climatic conditions and modelling future distribution patterns in order to ensure restoration actions are relevant into the future (WP2); - developing indicators, targets and monitoring frameworks to evaluate restoration success and quantify subsequent changes following restoration (WP2); - passing from the lab to the field to refine restoration methods in “real-world” conditions (WP3); - identifying methods and contextual factors that improve the efficiency and success rate of restoration and the delivery of goods and services (WP4); - determining where the knowledge and lessons generated from the project can be applied to address policy needs and aspirations (WP4); - engaging with local stakeholders to promote and facilitate replicability and transferability of know-how and generate support from local groups and industries (WP5); - disseminating actions and results to increase the awareness of these important habitats and the benefits that can be obtained from restoring them (WP5).",public,Executive Agency for Small and Medium Enterprise (EASME) and European Maritime and Fisheries fund (EMFF),operational,fully,regional,Mediterranean Sea,oceanographic; spatial; social; biological,in-situ; desk research; remote sensing,yes,no,periodic,yes,human,http://afrimed-project.eu/,,
